ACCT351,ACCT,351,AU,1,1,1,BU 227,,,BU 387,Accounting,Accounting,"Accounting 351 is the first course in the two-course intermediate accounting sequence. It provides in-depth coverage of the environment of and conceptual framework for financial reporting; accounting information processing systems; the application of present value concepts in accounting; preparing the basic financial statements—the statement of income, the cash flow statement, the retained earnings statement, statement of changes in shareholders’ equity, and the balance sheet, including presentation and disclosure issues; accounting issues (both procedural and conceptual) related to the asset side of the balance sheet. Many of these topics were covered in introductory financial accounting and are repeated here in a much more comprehensive fashion. ACCT 351 is an option in the Bachelor of Commerce degree program, as well as a required course in the University Certificate in Accounting. It meets the requirements of all three professional accounting bodies in Canada (CA, CGA, CMA) with respect to a first intermediate financial accounting course. The content of this course complies with IFRS (International Financial Reporting Standards)."
ACCT352,ACCT,352,AU,1,1,1,ACCT 351,,,BU 397,"Accounting, CFA Preparation",Intermediate Financial Accounting II,"Accounting 352 is the second course in the two-course intermediate financial accounting sequence. It provides in-depth coverage of: accounting issues associated with the equity side of the Balance Sheet (liabilities and shareholders’ equity). This includes both procedural and conceptual issues, as well as consideration of matters related to presentation and disclosure; other issues including accounting for income taxes, employee future benefits, accounting for leases, and financial statement analysis. Many of these topics were covered in introductory financial accounting and are repeated in intermediate financial accounting but in a much more comprehensive fashion. The prerequisite for ACCT 352 is Accounting 351: Intermediate Financial Accounting I. Together, ACCT 351 and ACCT 352 span all the topics normally covered in university intermediate financial accounting courses in Canada. ACCT 352 is an option in the Bachelor of Commerce degree program, as well as a required course in the University Certificate in Accounting. ACCT 352 meets the requirements of all three professional accounting bodies in Canada (CA, CGA, CMA) with respect to a second intermediate financial accounting course. The content of this course complies with IFRS (International Financial Reporting Standards)."
ACTSC231,ACTSC,231,UW,1,1,1,MATH 137 or 147,STAT 230 or 240,"ACTSC 221, ECON 371",,,Mathematics of Finance,"The theory of rates of interest and discount including the theoretical continuous case of forces of interest and discount. Annuities and sinking funds, including the continuous case. Practical and theoretical applications primarily to mortgages and bonds. Yield rates. [Offered: F,W,S]. Level at least 2A. Not open to General Mathematics students.  CIVE 292/392 is an antirequisite for Mathematics students."
ACTSC232,ACTSC,232,UW,1,1,1,"ACTSC 231, STAT 230 or 240",,,,"Actsci Finance Option, Actuarial Science",Introduction to Actuarial Mathematics,"The economics of insurance, utility theory. Application of probability to problems of life and death. The determination of premiums for insurances and annuities in both the discrete and continuous case. [Offered: F,W,S]. Not open to General Mathematics students."
ACTSC291,ACTSC,291,UW,0,0,0,"MATH 136 or 146, 138 or 148",,"AFM 271, 273, ACTSC 371, ECON 371",AFM 272,,Corporate Finance 1,"This is the first in a two-course sequence that deals with corporate financial decision-making. Topics may include time value of money, capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, short term finance, and risk management. Where suitable, topics are treated from a mathematical and quantitative perspective. Accounting & Financial Management, Computing & Financial Management, Mathematics/Accounting or Science Biotechnology/Chartered Accountancy students."
ACTSC331,ACTSC,331,UW,1,1,1,ACTSC 232,,,,"Actsci Finance Option, Actuarial Science",Life Contingencies 1,"Policy values and reserves. Multiple life functions and multiple state models. [Note: Some of the material covered in STAT 333 reinforces some of the concepts covered in this course. Therefore students might find it beneficial to take STAT 333 and ACTSC 331 at the same time. Offered: F,W,S]. Grade in ACTSC 232 must be at least 60% to count as a prerequisite. Actuarial Science, Mathematics/Accounting Actuarial Science Option, Business/Math double degree students only."
ACTSC371,ACTSC,371,UW,1,1,1,,STAT 231 or 241,"AFM 271, 273, AFM 272, ACTSC 291, BU 383, ECON 371",,"Actsci Finance Option, Actuarial Science",Corporate Finance 1,"Time value of money. Introduction to corporate finance in a mathematical setting. Description and valuation of financial instruments, including stocks, swaps and options. Real options. Investment decisions. Capital budgeting and depreciation. [Offered: F,S]. Not open to General Mathematics students.  ""BU"" courses are designated as ""BUS"" on the UW Academic Calendars."
ACTSC372,ACTSC,372,UW,1,1,1,ACTSC 274/371,,"AFM 274, 371, AFM 372, ACTSC 391, BU 393, ECON 372",,"Actsci Finance Option, Actuarial Science",Corporate Finance 2,"Investment decision using Markowitz and utility theory. Capital Asset Pricing Model. Arbitrage Pricing Theory. Market efficiency. Capital structure and dividend policy. Advanced topics. [Offered: F,W,S]. Not open to General Mathematics students.  ""BU"" courses are designated as ""BUS"" on the UW Academic Calendars."
ACTSC391,ACTSC,391,UW,0,0,0,AFM 272/ACTSC 291,,"AFM 274, 371, ACTSC 372, ECON 371",AFM 372,"Actsci Finance Option, Actuarial Science",Corporate Finance 2,"This course is a continuation of AFM 272/ACTSC 291. Topics to be explored are covered under the listing for AFM 272/ACTSC 291. Computing & Financial Management, Mathematics Chartered Accountancy students only."
ACTSC431,ACTSC,431,UW,1,0,1,"STAT 330, 333",,,,"Actsci Finance Option, Actuarial Science",Loss Models 1,"Models for loss severity: parametric models, effect of policy modifications, tail behaviour. Models for loss frequency: (a, b, 0), (a, b, 1), mixed Poisson models; compound Poisson models, Aggregate claims models: moments and moment generating function: recursion. Classical ruin theory. [Offered: F,S]. Actuarial Science, Business/Math double degree, Mathematical Finance, Mathematics/Accounting Actuarial Science Option students only."
